,content,id,lat,location,lon,time,user,user_id
1122,"Wow, low key wish that me, @jjjaaayy and @nlahoz all lived closer like how we used to. I could use some snugs from… https://t.co/5Aj50aGw1r",971545407321968640,,"Boston, MA",,2018-03-08 00:37:30,HollyGuarino_,381681254
1127,With the storm approaching we would like to remind our riding public: while traveling on the #MBTA if you see anyon… https://t.co/BAiDsufOBI,971545244847263744,,"Boston, MA",,2018-03-08 00:36:51,MBTATransitPD,182831456
1128,"@BQQuinn Congratulations... they named the storm after you. Be gentle with us, Colonel. Everyone wants to get rocke… https://t.co/ompTw3g3hO",971545161456062464,,"Boston, MA",,2018-03-08 00:36:31,GioiaRizzo,26585142
1129,RT @AtwaterWCVB: At 11: DPW workers in Worcester are preparing a brine solution to treat roads ahead of the storm. #WCVB https://t.co/FTIfl…,971545039775125504,,"Boston, MA",,2018-03-08 00:36:02,Gretchen_LaRosa,609361387
113,"#Woodford #Vermont buried by #SNOW but the Town Hall is open for business. Clerk says ""it's been much worse than th… https://t.co/YNm7AfhPw4",971776766476996608,,"Boston, MA",,2018-03-08 15:56:50,TAGlobe,313707833
1130,"We braved the storm for Top Shelf!

Here’s our host - Sumeet!! https://t.co/4dDqTCJ0De",971544844047876096,,"Cambridge, MA",,2018-03-08 00:35:15,haroldnight,104262639
1131,Storm is overhyped #snowday,971544791145238528,,,,2018-03-08 00:35:03,edwardpeguero1,298314389
1135,Sometimes just gotta weather the storm,971543834407600128,,"Boston, MA",,2018-03-08 00:31:15,oislam23,3429256366
1137,"This is - literally - my favorite meal! But, I'm not going out in the storm for it.  Sorry @MistralBoston https://t.co/IDgGwAFRBg",971543772281622528,,"Boston, MA",,2018-03-08 00:31:00,JosefBlumenfeld,17074303
1139,Moved from Framingham to the city for storm coverage tonight. Still just a rain story here. But change over to snow… https://t.co/aWyLCmyZy8,971543129445761024,,"Boston, MA",,2018-03-08 00:28:27,JacobLongTV,36717939
114,"As much as I love the sun and palm trees, I can’t help but see the beauty here after the storm.",971776347457630208,,"Boston, MA",,2018-03-08 15:55:10,ryanlimatweets,215375767
1141,"PLEASE SHARE! For homeowners with major storm damage who need assistance/direction on insurance claims,cleanup, ass… https://t.co/8iaY7kqyez",971542805658193920,,"Boston, MA",,2018-03-08 00:27:09,KThompson_WCVB,168883654
1143,Coastal communities scramble ahead of second nor’easter in a week https://t.co/hMWCJfGfTL,971542557166571520,,"Boston, MA",,2018-03-08 00:26:10,GlobeMetro,22814630
1144,I lost power and this snow storm is still going,971542533275836416,,"Boston, MA",,2018-03-08 00:26:04,Celtics_Savage,889899131954749440
1145,Hurry up and get here. 40mph wind and rain. Feels like a tropical storm https://t.co/3vZU8aoX57,971542424387510272,,,,2018-03-08 00:25:39,BostonMetroWx,717095249810735104
1146,https://t.co/MASvUzFdrI,971542379370090496,,"Boston, MA",,2018-03-08 00:25:28,Felicity_Lingle,307616096
1149,When there are already schools cancellations because of the snow storm tomorrow https://t.co/YWntbFuVGj,971541568200101888,,"Boston, MA",,2018-03-08 00:22:14,thatgirlgenesis,559929601
1157,MBTA Advises Commuters To Allow Extra Time https://t.co/WxNQqSN9Gi https://t.co/acnHqJ9Hm3,971539972158377984,,"Boston, MA",,2018-03-08 00:15:54,wbznewsradio,26513255
1158,I got my #fireplace going. Ready for the #storm 👍👊 #prepared #mastiffville #315ona @315onA https://t.co/Cl9DMK4SRd,971539723545186304,,"Boston, MA",,2018-03-08 00:14:55,MorganMastiff,358542682
1164,For everyone asking “Where’s the snow!?” When we are a few hours into the storm. https://t.co/Zi5DH8DCEP,971538150911807488,,"Boston, MA",,2018-03-08 00:08:40,TheNamesKyle,282418152
1167,Be sure to keep this list of emergency resources handy during the storm: https://t.co/sSXXU0npFa,971537753744838656,,"Boston, MA",,2018-03-08 00:07:05,NBC10Boston,4746090250
1170,@4cast4you @ConorMalloy28 “Storm” hasn’t started yet apparently,971537612799344640,,"Boston, MA",,2018-03-08 00:06:31,nickjalbert29,2879842517
1171,Storm Coverage tonight on NightSide - Gov. Chris Sununu will check in from N.H. - We'll hear from Mike Durand of Ev… https://t.co/VOCMZ5Mdwr,971537596202541056,,"Boston, MA",,2018-03-08 00:06:27,WBZNightside,46218350
1172,@Country1025WKLB @1025Marissa this storm is a bust,971537566871818240,,"Boston, MA",,2018-03-08 00:06:20,Wasabiboys,449206065
1173,"From Friday to Sunday last week, 50 hours total, I kept you guys up to date while we didn’t have power. Now tonight… https://t.co/hLfRsUqgX9",971537563033985024,,"Boston, MA",,2018-03-08 00:06:19,thatguycraig,16939045
1177,Local news drops everything to cover a rain storm that might result in a few inches of snow. In New England. Where this happens every year.,971537284867731456,,"Somerville, MA",,2018-03-08 00:05:13,sassysundry,20627462
1182,"Due to the current forecast for tomorrow’s storm warning, the following programs will be closed on Thursday, March… https://t.co/0PIo3CuBYY",971536613951049728,,"Boston, MA",,2018-03-08 00:02:33,FranciscanHFC,40342712
1183,"Sellersville PA show tonight is getting rescheduled due to the storm...however, we're on our way to Manchester... https://t.co/NpVNgqMkow",971536387601240064,,"Boston, MA",,2018-03-08 00:01:39,ethanbrosh,71283479
1185,"RT @susantran: #66/365 Grateful for #NBC10BostonPuppy #Brady. Getting to snuggle him this morning brought me such joy, it powered me thru s…",971536308010209280,,,,2018-03-08 00:01:20,1986celtics,26917741
1189,What Is Thundersnow? We Answer Your Questions About the Storm https://t.co/YpNyPP12gm,971535804009996288,,"Cambridge, MA",,2018-03-07 23:59:20,BalelBauer,3078562100
